Make,Model,Used/New,FuelType,ExteriorColor,DealType,InteriorColor,Mileage,MinMPG,MaxMPG,Price
Toyota,Sienna SE,Used,Gasoline,Red,Great,Black,29403,19,27,"$39,998"
Ford,F-150 Lariat,Used,Gasoline,Shadow Black,Good,Black,32929,19,24,"$49,985"
RAM,1500 Laramie,Used,Gasoline,Granite Crystal Clearcoat Metallic,Good,Black,23173,15,21,"$41,860"
Honda,Accord Sport SE,Used,Gasoline,Gray,,–,10598,29,35,"$28,500"
Lexus,RX 350,Used,Gasoline,Eminent White Pearl,Good,Birch,28137,20,27,"$49,000"
Toyota,4Runner SR5,Used,Gasoline,Black,Fair,–,105469,17,23,"$23,541"
Honda,HR-V LX,Used,Gasoline,Modern Steel Metallic,Great,Black,10458,28,34,"$20,995"
Mercedes-Benz,E-Class E 350,Used,Gasoline,Lunar Blue Metallic,Great,Saffron,58157,21,30,"$18,985"
Honda,Pilot Touring 8-Passenger,Used,Gasoline,Platinum White Pearl,Good,Beige,14445,19,26,"$44,299"
Dodge,Charger Scat Pack,Dodge Certified,Gasoline,Triple Nickel Clearcoat,Good,Black,25642,15,24,"$46,773"
Lexus,RC 350 Base,Used,Gasoline,Infrared,Great,Silver,10236,19,28,"$42,734"
Lexus,GS 350 Base,Used,Gasoline,Gray,Great,Black,48605,19,28,"$16,990"
Lexus,RX 350 RX 350,Used,Gasoline,Nightfall Mica,Good,Gray,47729,20,27,"$36,450"
Dodge,Charger Scat Pack,Dodge Certified,Gasoline,White Knuckle Clearcoat,Good,Black,31538,15,24,"$47,500"
Dodge,Charger Scat Pack,Used,Gasoline,Octane Red Pearlcoat,,Black,18717,15,24,"$41,000"
Lexus,RC 350 Base,Used,Gasoline,Silver Lining Metallic,Fair,Sport,34102,19,28,"$41,493"
Ford,Explorer XLT,Used,Gasoline,Red,Good,Black,61294,16,22,"$32,995"
Subaru,Crosstrek Premium,Used,Gasoline,Cool-Gray Khaki,,Black,11508,28,33,"$25,500"
Ford,Explorer XLT,Used,Gasoline,Red,Good,–,81375,16,22,"$33,341"
Ford,Explorer XLT,Used,Gasoline,Ruby Red Metallic Tinted Clearcoat,Good,Ebony Black,28357,17,24,"$30,489"
Ford,Explorer XLT,Used,Gasoline,Shadow Black,Good,Ebony Black,33188,16,22,"$32,489"
Acura,RDX A-Spec,Used,Gasoline,Majestic Black Pearl,,Red,5188,21,26,"$37,000"
Acura,RDX A-Spec,Used,Gasoline,Apex Blue Pearl,,Red,12878,21,26,"$38,000"
Ford,Explorer XLT,Used,Gasoline,Magnetic,Good,Ebony Black,47661,16,22,"$31,672"
Subaru,Forester Sport,Used,Gasoline,Ice Silver Metallic,,Gray,10859,26,33,"$29,500"
Subaru,Crosstrek 2.0i Premium,Used,Gasoline,Venetian Red Pearl,Fair,Black,30849,27,33,"$31,995"
Subaru,Crosstrek 2.0i Premium,Used,Gasoline,Venetian Red Pearl,Good,Black,86759,27,33,"$24,561"
